"","position","digit","color"
"83645",83645,"8","#DB162F"
"83646",83646,"5","#48284A"
"83647",83647,"6","#916C80"
"83648",83648,"1","#376996"
"83649",83649,"8","#DB162F"
"83650",83650,"1","#376996"
"83651",83651,"7","#3B1F2B"
"83652",83652,"0","#0B0033"
"83653",83653,"1","#376996"
"83654",83654,"6","#916C80"
"83655",83655,"0","#0B0033"
"83656",83656,"5","#48284A"
"83657",83657,"5","#48284A"
"83658",83658,"1","#376996"
"83659",83659,"1","#376996"
"83660",83660,"0","#0B0033"
"83661",83661,"4","#C09BD8"
"83662",83662,"8","#DB162F"
"83663",83663,"8","#DB162F"
"83664",83664,"0","#0B0033"
"83665",83665,"9","#5F758E"
"83666",83666,"7","#3B1F2B"
"83667",83667,"1","#376996"
"83668",83668,"5","#48284A"
"83669",83669,"5","#48284A"
"83670",83670,"4","#C09BD8"
"83671",83671,"8","#DB162F"
"83672",83672,"5","#48284A"
"83673",83673,"9","#5F758E"
"83674",83674,"1","#376996"
"83675",83675,"1","#376996"
"83676",83676,"8","#DB162F"
"83677",83677,"6","#916C80"
"83678",83678,"1","#376996"
"83679",83679,"7","#3B1F2B"
"83680",83680,"1","#376996"
"83681",83681,"8","#DB162F"
"83682",83682,"9","#5F758E"
"83683",83683,"6","#916C80"
"83684",83684,"6","#916C80"
"83685",83685,"8","#DB162F"
"83686",83686,"0","#0B0033"
"83687",83687,"2","#C3B299"
"83688",83688,"5","#48284A"
"83689",83689,"9","#5F758E"
"83690",83690,"7","#3B1F2B"
"83691",83691,"3","#815355"
"83692",83692,"5","#48284A"
"83693",83693,"4","#C09BD8"
"83694",83694,"1","#376996"
"83695",83695,"7","#3B1F2B"
"83696",83696,"0","#0B0033"
"83697",83697,"5","#48284A"
"83698",83698,"4","#C09BD8"
"83699",83699,"2","#C3B299"
"83700",83700,"3","#815355"
"83701",83701,"9","#5F758E"
"83702",83702,"8","#DB162F"
"83703",83703,"5","#48284A"
"83704",83704,"1","#376996"
"83705",83705,"3","#815355"
"83706",83706,"5","#48284A"
"83707",83707,"5","#48284A"
"83708",83708,"6","#916C80"
"83709",83709,"0","#0B0033"
"83710",83710,"0","#0B0033"
"83711",83711,"1","#376996"
"83712",83712,"8","#DB162F"
"83713",83713,"7","#3B1F2B"
"83714",83714,"2","#C3B299"
"83715",83715,"0","#0B0033"
"83716",83716,"3","#815355"
"83717",83717,"3","#815355"
"83718",83718,"5","#48284A"
"83719",83719,"0","#0B0033"
"83720",83720,"7","#3B1F2B"
"83721",83721,"9","#5F758E"
"83722",83722,"0","#0B0033"
"83723",83723,"6","#916C80"
"83724",83724,"0","#0B0033"
"83725",83725,"9","#5F758E"
"83726",83726,"4","#C09BD8"
"83727",83727,"6","#916C80"
"83728",83728,"4","#C09BD8"
"83729",83729,"2","#C3B299"
"83730",83730,"1","#376996"
"83731",83731,"2","#C3B299"
"83732",83732,"7","#3B1F2B"
"83733",83733,"1","#376996"
"83734",83734,"1","#376996"
"83735",83735,"4","#C09BD8"
"83736",83736,"3","#815355"
"83737",83737,"9","#5F758E"
"83738",83738,"9","#5F758E"
"83739",83739,"3","#815355"
"83740",83740,"1","#376996"
"83741",83741,"9","#5F758E"
"83742",83742,"6","#916C80"
"83743",83743,"0","#0B0033"
"83744",83744,"4","#C09BD8"
"83745",83745,"6","#916C80"
"83746",83746,"5","#48284A"
"83747",83747,"2","#C3B299"
"83748",83748,"7","#3B1F2B"
"83749",83749,"4","#C09BD8"
"83750",83750,"2","#C3B299"
"83751",83751,"4","#C09BD8"
"83752",83752,"0","#0B0033"
"83753",83753,"5","#48284A"
"83754",83754,"0","#0B0033"
"83755",83755,"8","#DB162F"
"83756",83756,"8","#DB162F"
"83757",83757,"2","#C3B299"
"83758",83758,"2","#C3B299"
"83759",83759,"2","#C3B299"
"83760",83760,"5","#48284A"
"83761",83761,"3","#815355"
"83762",83762,"5","#48284A"
"83763",83763,"9","#5F758E"
"83764",83764,"7","#3B1F2B"
"83765",83765,"7","#3B1F2B"
"83766",83766,"3","#815355"
"83767",83767,"4","#C09BD8"
"83768",83768,"8","#DB162F"
"83769",83769,"1","#376996"
"83770",83770,"5","#48284A"
"83771",83771,"1","#376996"
"83772",83772,"9","#5F758E"
"83773",83773,"1","#376996"
"83774",83774,"3","#815355"
"83775",83775,"5","#48284A"
"83776",83776,"4","#C09BD8"
"83777",83777,"3","#815355"
"83778",83778,"8","#DB162F"
"83779",83779,"5","#48284A"
"83780",83780,"7","#3B1F2B"
"83781",83781,"1","#376996"
"83782",83782,"2","#C3B299"
"83783",83783,"5","#48284A"
"83784",83784,"3","#815355"
"83785",83785,"2","#C3B299"
"83786",83786,"5","#48284A"
"83787",83787,"8","#DB162F"
"83788",83788,"5","#48284A"
"83789",83789,"4","#C09BD8"
"83790",83790,"0","#0B0033"
"83791",83791,"4","#C09BD8"
"83792",83792,"9","#5F758E"
"83793",83793,"3","#815355"
"83794",83794,"9","#5F758E"
"83795",83795,"4","#C09BD8"
"83796",83796,"6","#916C80"
"83797",83797,"0","#0B0033"
"83798",83798,"1","#376996"
"83799",83799,"0","#0B0033"
"83800",83800,"8","#DB162F"
"83801",83801,"6","#916C80"
"83802",83802,"5","#48284A"
"83803",83803,"7","#3B1F2B"
"83804",83804,"9","#5F758E"
"83805",83805,"3","#815355"
"83806",83806,"7","#3B1F2B"
"83807",83807,"9","#5F758E"
"83808",83808,"8","#DB162F"
"83809",83809,"0","#0B0033"
"83810",83810,"5","#48284A"
"83811",83811,"8","#DB162F"
"83812",83812,"6","#916C80"
"83813",83813,"2","#C3B299"
"83814",83814,"0","#0B0033"
"83815",83815,"1","#376996"
"83816",83816,"4","#C09BD8"
"83817",83817,"3","#815355"
"83818",83818,"3","#815355"
"83819",83819,"6","#916C80"
"83820",83820,"6","#916C80"
"83821",83821,"0","#0B0033"
"83822",83822,"7","#3B1F2B"
"83823",83823,"8","#DB162F"
"83824",83824,"8","#DB162F"
"83825",83825,"2","#C3B299"
"83826",83826,"5","#48284A"
"83827",83827,"2","#C3B299"
"83828",83828,"1","#376996"
"83829",83829,"9","#5F758E"
"83830",83830,"7","#3B1F2B"
"83831",83831,"1","#376996"
"83832",83832,"7","#3B1F2B"
"83833",83833,"8","#DB162F"
"83834",83834,"0","#0B0033"
"83835",83835,"9","#5F758E"
"83836",83836,"0","#0B0033"
"83837",83837,"2","#C3B299"
"83838",83838,"5","#48284A"
"83839",83839,"8","#DB162F"
"83840",83840,"1","#376996"
"83841",83841,"7","#3B1F2B"
"83842",83842,"3","#815355"
"83843",83843,"7","#3B1F2B"
"83844",83844,"0","#0B0033"
"83845",83845,"8","#DB162F"
"83846",83846,"7","#3B1F2B"
"83847",83847,"0","#0B0033"
"83848",83848,"9","#5F758E"
"83849",83849,"1","#376996"
"83850",83850,"6","#916C80"
"83851",83851,"4","#C09BD8"
"83852",83852,"6","#916C80"
"83853",83853,"0","#0B0033"
"83854",83854,"4","#C09BD8"
"83855",83855,"5","#48284A"
"83856",83856,"2","#C3B299"
"83857",83857,"7","#3B1F2B"
"83858",83858,"2","#C3B299"
"83859",83859,"7","#3B1F2B"
"83860",83860,"9","#5F758E"
"83861",83861,"7","#3B1F2B"
"83862",83862,"7","#3B1F2B"
"83863",83863,"1","#376996"
"83864",83864,"5","#48284A"
"83865",83865,"3","#815355"
"83866",83866,"5","#48284A"
"83867",83867,"0","#0B0033"
"83868",83868,"9","#5F758E"
"83869",83869,"9","#5F758E"
"83870",83870,"1","#376996"
"83871",83871,"0","#0B0033"
"83872",83872,"3","#815355"
"83873",83873,"4","#C09BD8"
"83874",83874,"0","#0B0033"
"83875",83875,"7","#3B1F2B"
"83876",83876,"3","#815355"
"83877",83877,"6","#916C80"
"83878",83878,"4","#C09BD8"
"83879",83879,"2","#C3B299"
"83880",83880,"5","#48284A"
"83881",83881,"0","#0B0033"
"83882",83882,"2","#C3B299"
"83883",83883,"0","#0B0033"
"83884",83884,"3","#815355"
"83885",83885,"8","#DB162F"
"83886",83886,"6","#916C80"
